CM30c60	CM30c28	CM30b58	CM30c37	CM30c62	CM30c30	Plot08	Plot03	Plot07	LB1	LB5	CM30b60	Plot04	CM30c39	CM30c51	CM30c53	CM31a5	Plot05	Plot01	CM30c	Plot02	CM30c35	CM30d12	CM30c46	CM30c44	CM30d3	CM30b51	Plot06
M01895_13_000000000-ABYEE_1_1102_9089_15360|gene_18S	0	0	0	1	0	0	36	0	0	138	0	70	1	0	0	0	0	0	0	0	0	0	19	52	0	81	266	0
M01895_13_000000000-ABYEE_1_1106_11611_10942|gene_18S	26	144	0	1	0	16	1	0	4	0	23	0	99	0	0	199	0	0	0	38	0	0	27	15	0	47	27	7
M01895_13_000000000-ABYEE_1_1102_11275_14567|gene_18S	80	24	34	33	22	10	203	139	248	57	51	40	73	20	47	9	21	75	42	22	93	76	36	9	35	177	45	92
M01895_13_000000000-ABYEE_1_1101_23969_22713|gene_18S	13	32	10	16	4	35	31	6	16	90	78	7	66	10	12	10	26	31	9	10	40	31	55	23	0	92	42	58
M01895_13_000000000-ABYEE_1_1103_25458_10004|gene_18S	7	5	8	12	19	0	12	20	49	34	54	3	15	2	13	9	13	16	2	28	10	56	85	36	1	65	35	27
M01895_13_000000000-ABYEE_1_2106_15047_5903|gene_18S	6	0	0	0	0	0	10	71	26	3	0	0	0	0	0	0	0	2	0	0	445	0	0	0	87	1	0	1
M01895_13_000000000-ABYEE_1_1106_5445_8880|gene_18S	30	12	10	4	3	5	66	79	1	38	72	7	22	5	20	8	18	3	0	8	174	7	38	6	1	4	41	0
M01895_13_000000000-ABYEE_1_1101_14589_4170|gene_18S	1	0	165	1	4	1	5	19	3	1	0	0	0	0	0	9	12	212	389	385	34	4	4	1	0	0	1	177
M01895_13_000000000-ABYEE_1_1104_25208_13876|gene_18S	0	4	1	4	30	1	2	5	0	13	11	1	1	0	530	0	0	0	1	0	13	1	0	0	40	628	1	1
M01895_13_000000000-ABYEE_1_1101_11573_10236|gene_18S	0	23	0	0	0	220	35	5	170	81	164	0	12	0	0	14	3	0	0	1	0	0	0	0	0	1	1	0
M01895_13_000000000-ABYEE_1_1101_19568_13286|gene_18S	11	8	6	106	7	266	101	23	13	26	71	354	105	0	2	52	0	10	1	2	7	40	40	175	16	167	215	19
M01895_13_000000000-ABYEE_1_1101_20061_6062|gene_18S	1	0	1	0	0	1	0	0	0	0	0	501	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2113_21360_15231|gene_18S	25	6	8	31	8	5	1	10	8	71	23	10	26	4	60	23	90	301	2	2	2	24	9	2	6	25	82	12
M01895_13_000000000-ABYEE_1_1111_20208_27020|gene_18S	5	5	24	26	2	24	105	22	58	46	58	13	28	14	16	9	9	41	1	7	28	49	27	8	4	119	11	41
M01895_13_000000000-ABYEE_1_1113_9714_27024|gene_18S	33	1	1	5	3	0	0	3	0	0	6	0	12	0	3	6	1	0	0	0	1	0	0	0	2	4	470	27
M01895_13_000000000-ABYEE_1_1102_7365_19024|gene_18S	4	3	19	13	16	3	2	149	19	1	54	21	40	0	1	3	8	7	70	4	6	16	0	2	0	6	0	64
M01895_13_000000000-ABYEE_1_1102_15523_20121|gene_18S	12	0	27	22	0	16	71	2	26	299	124	24	435	64	25	34	0	4	0	0	0	6	81	0	0	29	127	166
M01895_13_000000000-ABYEE_1_1113_24105_17064|gene_18S	33	105	3	1	101	3	96	141	0	1	0	0	1	0	3	8	4	7	2	67	33	16	2	3	0	63	0	1
M01895_13_000000000-ABYEE_1_1101_12925_12979|gene_18S	85	34	5	16	25	0	12	86	4	13	15	3	6	0	0	2	87	131	3	38	67	10	12	66	6	30	24	5
M01895_13_000000000-ABYEE_1_1102_7349_22036|gene_18S	23	38	57	23	11	61	50	17	34	125	94	20	60	5	45	24	74	53	19	13	19	42	47	10	8	161	119	33
M01895_13_000000000-ABYEE_1_1102_16184_9266|gene_18S	15	147	6	9	8	4	85	94	0	0	1	12	30	0	3	54	119	1	12	22	10	5	8	27	0	11	290	33
M01895_13_000000000-ABYEE_1_2101_1790_14791|gene_18S	0	0	2	16	0	0	0	3	404	1	0	0	0	10	7	0	0	0	2	11	0	0	0	0	0	31	0	10
M01895_13_000000000-ABYEE_1_1108_5789_23118|gene_18S	92	131	0	0	144	0	0	0	0	0	0	0	11	0	0	392	7	0	0	45	37	82	9	7	0	0	3	0
